id,name,latitude,longitude
319,Buey Arriba,20.1738889,-76.7488889
320,Guisa,20.2538889,-76.5369444
321,Contramaestre,20.3016667,-76.2472222
322,Mella,20.3805556,-75.9127778
323,San Luis,20.1883333,-75.8502778
324,Songo-La Maya,20.1733333,-75.6469444
325,Santiago de Cuba,20.0247222,-75.8219444
326,Segundo Frente,20.4111111,-75.5275
327,Guamá,19.9777778,-76.4169444
328,Tercer Frente,20.1716667,-76.3252778
329,Palma Soriano,20.2147222,-75.9927778
330,El Salvador,20.2736111,-75.2247222
331,Manuel Tames,20.1830556,-75.0527778
332,Yateras,20.3505556,-74.9986111
333,Baracoa,20.3486111,-74.4966667
334,Maisí,20.2472222,-74.1591667
335,Imías,20.0691667,-74.6338889
336,San Antonio del Sur,20.0644444,-74.8136111
337,Guantánamo,20.1447222,-75.2091667
338,Caimanera,19.9933333,-75.1644444
339,Niceto Pérez,20.1269444,-75.3452778
340,Isla de la Juventud,21.6833333,-82.85
